event_id,user_id,product_id,category,event_type,price,quantity,revenue,device,country,session_id,event_time
e_002263,u_00318,p_0001,apparel,checkout,17.38,,0.0,desktop,US,s_002247,2026-01-01T00:05:18+00:00
e_006995,u_00449,p_0042,home,page_view,127.08,,0.0,mobile,GB,s_004450,2026-01-01T00:39:05+00:00
e_008380,u_00227,p_0040,grocery,product_view,200.84,,0.0,tablet,FR,s_001606,2026-01-01T00:43:35+00:00
e_012118,u_00312,p_0066,grocery,page_view,14.64,,0.0,tablet,CA,s_001390,2026-01-01T00:44:25+00:00
e_001424,u_00279,p_0039,books,product_view,110.25,,0.0,desktop,JP,s_005392,2026-01-01T00:47:51+00:00
e_006780,u_00471,p_0071,grocery,add_to_cart,408.93,1,0.0,desktop,FR,s_000128,2026-01-01T00:48:15+00:00
e_015898,u_00222,p_0068,sports,purchase,123.53,3,370.59,tablet,JP,s_001969,2026-01-01T00:55:25+00:00
e_007104,u_00443,p_0057,toys,page_view,83.29,,0.0,tablet,GB,s_002404,2026-01-01T01:07:24+00:00
e_015754,u_00395,p_0048,apparel,page_view,80.66,,0.0,mobile,FR,s_003732,2026-01-01T01:20:39+00:00
e_000587,u_00053,p_0064,home,add_to_cart,271.99,1,0.0,mobile,JP,s_000294,2026-01-01T01:34:54+00:00
e_005316,u_00055,p_0011,home,page_view,350.58,,0.0,mobile,FR,s_004307,2026-01-01T02:04:29+00:00
e_010161,u_00056,p_0016,books,product_view,303.84,,0.0,tablet,BR,s_006285,2026-01-01T02:41:07+00:00
e_014966,u_00014,p_0077,toys,product_view,497.6,,0.0,tablet,JP,s_005914,2026-01-01T02:51:39+00:00
e_017101,u_00299,p_0016,books,product_view,303.84,,0.0,tablet,GB,s_006123,2026-01-01T02:54:25+00:00
e_012311,u_00388,p_0073,grocery,purchase,473.69,3,1421.07,tablet,DE,s_002501,2026-01-01T03:31:50+00:00
e_007336,u_00326,p_0002,sports,add_to_cart,126.22,1,0.0,desktop,BR,s_000662,2026-01-01T03:52:48+00:00
e_007273,u_00274,p_0072,home,add_to_cart,68.55,2,0.0,mobile,BR,s_003761,2026-01-01T03:57:21+00:00
e_012046,u_00255,p_0004,apparel,add_to_cart,297.29,1,0.0,mobile,CA,s_002433,2026-01-01T04:00:11+00:00
e_003502,u_00301,p_0034,beauty,add_to_cart,343.88,3,0.0,mobile,US,s_003709,2026-01-01T05:19:04+00:00
e_016310,u_00383,p_0014,books,add_to_cart,55.59,2,0.0,mobile,AU,s_001839,2026-01-01T05:19:12+00:00
e_007682,u_00229,p_0057,toys,product_view,83.29,,0.0,mobile,AU,s_002737,2026-01-01T05:27:59+00:00
e_012789,u_00022,p_0071,grocery,product_view,408.93,,0.0,tablet,CA,s_004102,2026-01-01T05:28:27+00:00
e_014893,u_00038,p_0073,grocery,page_view,473.69,,0.0,desktop,FR,s_006622,2026-01-01T06:13:26+00:00
e_018322,u_00257,p_0057,toys,page_view,83.29,,0.0,tablet,US,s_001664,2026-01-01T06:15:50+00:00
e_007564,u_00430,p_0074,home,page_view,136.2,,0.0,desktop,BR,s_005412,2026-01-01T06:17:54+00:00
e_000418,u_00476,p_0059,sports,page_view,486.08,,0.0,desktop,BR,s_003740,2026-01-01T06:18:00+00:00
e_005251,u_00424,p_0044,toys,page_view,449.42,,0.0,tablet,JP,s_000278,2026-01-01T06:24:34+00:00
